院校,专业方向,2025招生人数(总),2025招生人数(统考),2025报录比,2025复试线,数据来源/备注
南京师范大学,英语笔译,约40人,约40人,约10:1(参考),390分(2022),近三年招生稳定;2022年复试线390+;保护一志愿
大连外国语大学,英语语言文学,19人,约19人,约5:1(参考),待查,英语学院;含语言学、文学、翻译研究方向
大连外国语大学,外国语言学及应用语言学,21人,约21人,约5:1(参考),待查,英语学院
大连外国语大学,翻译学,含在英语语言文学,含在英语语言文学,含在英语语言文学,待查,英语语言文学下设翻译研究方向
大连外国语大学,学科教学(英语),待查,待查,待查,待查,
大连外国语大学,比较文学与世界文学,—,—,—,—,大外未设此专业
大连外国语大学,英语笔译,96人,约96人,约6:1(参考),待查,高级翻译学院;招生规模大
天津外国语大学,英语语言文学,待查,待查,待查,待查,英语学院招生
天津外国语大学,外国语言学及应用语言学,待查,待查,待查,待查,
天津外国语大学,翻译学,待查,待查,待查,待查,
天津外国语大学,学科教学(英语),待查,待查,待查,待查,
天津外国语大学,比较文学与世界文学,待查,待查,待查,待查,
天津外国语大学,英语笔译,41人(含推免),约30人,约7:1(参考),待查,"高级翻译学院;往年报考人数突破3000,报录比达7:1"
山东大学,英语语言文学,4人,约4人,约15:1(参考),待查,"外国语学院;招生人数极少,竞争激烈"
山东大学,外国语言学及应用语言学,待查,待查,待查,待查,
山东大学,翻译学,待查,待查,待查,待查,
山东大学,学科教学(英语),待查,待查,待查,待查,
山东大学,比较文学与世界文学,待查,待查,待查,待查,
山东大学,英语笔译,9-10人,9-10人,约12:1(参考),待查,外国语学院;济南/青岛/威海三地培养
吉林大学,英语语言文学,待查,待查,待查,待查,外国语学院招生
吉林大学,外国语言学及应用语言学,待查,待查,待查,待查,
吉林大学,翻译学,待查,待查,待查,待查,
吉林大学,学科教学(英语),待查,待查,待查,待查,
吉林大学,比较文学与世界文学,待查,待查,待查,待查,
吉林大学,英语笔译,待查,待查,待查,待查,
对外经济贸易大学,英语语言文学,约10人,约10人,约10:1(参考),待查,英语学院;2021年录取10人
对外经济贸易大学,外国语言学及应用语言学,约30人,约30人,约8:1(参考),待查,2021年录取30人
对外经济贸易大学,翻译学,待查,待查,待查,待查,
对外经济贸易大学,学科教学(英语),—,—,—,—,贸大未开设教育硕士(学科教学)
对外经济贸易大学,比较文学与世界文学,待查,待查,待查,待查,
对外经济贸易大学,英语笔译,约83人,约83人,约8:1(参考),待查,2021年录取83人;商务英语特色
中国人民大学,英语语言文学,约15人,约11人,约15:1(参考),待查,外国语学院;2024年统考11人;专业课2025年变更
中国人民大学,外国语言学及应用语言学,待查,待查,待查,待查,
中国人民大学,翻译学,待查,待查,待查,待查,
中国人民大学,学科教学(英语),—,—,—,—,人大未开设此专业
中国人民大学,比较文学与世界文学,待查,待查,待查,待查,文学院招生
中国人民大学,英语笔译,待查,待查,待查,待查,
苏州大学,英语语言文学,待查,待查,待查,待查,外国语学院招生;2026年删除245德语二外选项
苏州大学,外国语言学及应用语言学,待查,待查,待查,待查,
苏州大学,翻译学,待查,待查,待查,待查,0502Z1翻译学
苏州大学,学科教学(英语),待查,约30人,约24:1,待查,2020年参考:600+报考录取37人;近年约24:1
苏州大学,比较文学与世界文学,待查,待查,待查,待查,
苏州大学,英语笔译,待查,待查,待查,待查,
